angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.0,[450 254 237 237],0.0,0.0,0.93,0.07,0.0,0.0
0.0,[450 258 234 234],0.0,0.0,0.96,0.03,0.0,0.0
0.0,[451 260 234 234],0.0,0.0,0.96,0.03,0.0,0.0
0.0,[450 259 238 238],0.0,0.0,0.92,0.07,0.0,0.0
0.0,[447 258 244 244],0.0,0.0,0.95,0.05,0.0,0.0
0.0,[449 259 241 241],0.0,0.0,0.97,0.02,0.0,0.0
0.0,[450 258 243 243],0.0,0.0,0.98,0.02,0.0,0.0
0.0,[449 258 242 242],0.0,0.0,0.98,0.02,0.0,0.0
0.0,[452 258 239 239],0.0,0.0,0.95,0.05,0.0,0.0
0.0,[452 259 237 237],0.0,0.0,0.96,0.04,0.0,0.0
0.0,[452 261 234 234],0.0,0.0,0.96,0.03,0.0,0.0
0.0,[453 259 236 236],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[451 258 241 241],0.0,0.0,0.97,0.03,0.0,0.0
0.0,[450 259 239 239],0.0,0.0,0.97,0.03,0.0,0.0
0.0,[451 258 240 240],0.0,0.0,0.97,0.02,0.0,0.0
0.0,[450 258 244 244],0.0,0.0,0.98,0.02,0.0,0.0
0.0,[450 258 245 245],0.0,0.0,0.96,0.03,0.0,0.0
0.0,[449 257 248 248],0.0,0.0,0.93,0.06,0.0,0.0
0.0,[450 261 243 243],0.0,0.0,0.75,0.24,0.0,0.0
0.0,[452 262 244 244],0.0,0.0,0.26,0.71,0.01,0.01
0.01,[449 263 245 245],0.0,0.01,0.07,0.89,0.02,0.0
0.0,[449 263 244 244],0.0,0.0,0.05,0.94,0.0,0.0
0.0,[449 262 247 247],0.0,0.0,0.0,0.99,0.0,0.0
0.01,[448 263 247 247],0.0,0.01,0.0,0.96,0.01,0.0
0.01,[453 270 240 240],0.0,0.01,0.0,0.96,0.01,0.01
0.01,[450 269 244 244],0.0,0.02,0.0,0.93,0.01,0.02
0.02,[451 269 242 242],0.0,0.02,0.0,0.91,0.02,0.03
0.05,[450 269 242 242],0.0,0.12,0.0,0.61,0.04,0.17
0.03,[452 271 239 239],0.0,0.04,0.0,0.67,0.06,0.21
0.04,[452 278 237 237],0.0,0.07,0.0,0.64,0.07,0.17
0.01,[451 284 240 240],0.0,0.02,0.0,0.94,0.02,0.01
0.02,[449 291 245 245],0.0,0.02,0.0,0.9,0.05,0.01
0.02,[453 302 237 237],0.0,0.02,0.0,0.9,0.04,0.01
0.07,[455 311 238 238],0.0,0.06,0.0,0.74,0.13,0.01
0.11,[455 325 233 233],0.0,0.06,0.0,0.73,0.1,0.01
0.28,[458 336 229 229],0.0,0.1,0.0,0.36,0.24,0.02
0.21,[454 339 235 235],0.0,0.06,0.0,0.51,0.22,0.01
0.26,[457 344 229 229],0.0,0.09,0.0,0.37,0.25,0.02
0.29,[453 341 237 237],0.0,0.06,0.0,0.43,0.21,0.01
0.2,[451 336 241 241],0.0,0.05,0.0,0.43,0.31,0.01
0.28,[451 335 233 233],0.0,0.12,0.0,0.31,0.24,0.04
0.34,[449 328 242 242],0.0,0.08,0.0,0.35,0.22,0.02
0.18,[447 326 241 241],0.0,0.09,0.0,0.52,0.15,0.05
0.25,[448 326 238 238],0.0,0.12,0.0,0.38,0.14,0.11
0.17,[444 323 242 242],0.0,0.08,0.0,0.53,0.17,0.05
0.24,[448 328 232 232],0.0,0.14,0.0,0.32,0.21,0.09
0.24,[445 326 240 240],0.0,0.07,0.0,0.38,0.26,0.04
0.24,[446 326 236 236],0.0,0.13,0.0,0.34,0.22,0.08
0.22,[446 322 237 237],0.0,0.19,0.0,0.21,0.16,0.22
0.26,[444 320 242 242],0.0,0.12,0.0,0.31,0.27,0.04
0.2,[446 318 240 240],0.0,0.13,0.0,0.36,0.27,0.04
0.1,[449 312 242 242],0.0,0.15,0.0,0.47,0.24,0.03
0.12,[455 316 234 234],0.0,0.28,0.0,0.28,0.27,0.05
0.13,[456 321 230 230],0.0,0.15,0.0,0.41,0.28,0.02
0.18,[454 319 238 238],0.0,0.14,0.0,0.22,0.41,0.04
0.08,[453 320 236 236],0.0,0.14,0.0,0.42,0.3,0.05
0.05,[449 321 241 241],0.0,0.06,0.0,0.74,0.13,0.03
0.04,[446 319 248 248],0.0,0.06,0.0,0.67,0.19,0.04
0.08,[446 319 244 244],0.0,0.13,0.0,0.51,0.25,0.04
0.03,[444 312 251 251],0.0,0.03,0.03,0.79,0.08,0.04
0.02,[441 307 253 253],0.0,0.07,0.41,0.33,0.06,0.12
0.01,[444 297 248 248],0.0,0.04,0.74,0.11,0.03,0.07
0.0,[441 289 245 245],0.0,0.01,0.94,0.03,0.0,0.02
0.0,[438 279 248 248],0.0,0.0,0.97,0.01,0.0,0.02
0.0,[443 276 238 238],0.0,0.0,0.98,0.0,0.0,0.01
0.0,[436 266 246 246],0.0,0.0,0.99,0.01,0.0,0.01
0.0,[439 269 239 239],0.0,0.0,0.98,0.01,0.0,0.0
0.0,[440 269 233 233],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[441 270 229 229],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[439 269 232 232],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[436 267 238 238],0.0,0.0,0.97,0.02,0.0,0.0
0.0,[436 266 236 236],0.0,0.0,1.0,0.0,0.0,0.0
0.0,[437 269 240 240],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[436 276 240 240],0.0,0.0,0.98,0.01,0.0,0.0
0.0,[438 280 240 240],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[435 274 244 244],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[438 269 240 240],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[438 269 241 241],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[437 276 244 244],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[439 279 243 243],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[442 273 234 234],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[438 259 244 244],0.0,0.0,0.98,0.01,0.0,0.0
0.0,[438 263 243 243],0.0,0.0,0.98,0.02,0.0,0.0
0.0,[438 275 244 244],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[440 280 240 240],0.0,0.0,0.98,0.02,0.0,0.0
0.0,[440 272 238 238],0.0,0.0,1.0,0.0,0.0,0.0
0.0,[439 263 240 240],0.0,0.0,1.0,0.0,0.0,0.0
0.0,[439 267 243 243],0.0,0.0,0.99,0.0,0.0,0.0
0.0,[441 278 238 238],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[439 277 244 244],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[441 271 238 238],0.0,0.0,0.99,0.0,0.0,0.0
0.0,[440 265 238 238],0.0,0.0,0.99,0.0,0.0,0.0
0.0,[439 271 238 238],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[439 279 240 240],0.0,0.0,1.0,0.0,0.0,0.0
0.0,[440 283 238 238],0.0,0.0,1.0,0.0,0.0,0.0
0.0,[437 274 237 237],0.0,0.0,0.99,0.0,0.0,0.0
0.0,[436 270 237 237],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[438 277 230 230],0.0,0.0,0.99,0.01,0.0,0.0
0.0,[434 277 240 240],0.0,0.0,0.96,0.04,0.0,0.0
0.0,[436 274 238 238],0.0,0.0,0.89,0.1,0.0,0.01
